Возраст,Пол,Доход_тыс,Образование,Населенный_пункт,Количество_детей,Занятость
51,Мужской,56.2,Высшее,Город,0,Работает
46,Мужской,78.4,Высшее,Город,1,Работает
60,Женский,50.7,Магистратура,Город,0,Работает
39,Женский,52.4,Высшее,Село,0,Пенсионер
39,Мужской,38.4,Высшее,Город,4,Работает
40,Мужской,30.2,Магистратура,Город,2,Студент
30,Мужской,35.8,Высшее,Город,0,Пенсионер
41,Мужской,49.9,Среднее специальное,Село,3,Работает
39,Женский,43.1,Высшее,Город,0,Работает
46,Мужской,42.6,Среднее специальное,Город,1,Безработный
47,Мужской,32.4,Среднее специальное,Город,2,Работает
58,Мужской,57.8,Высшее,Село,2,Работает
51,Мужской,32.9,Магистратура,Село,1,Работает
40,Женский,61.4,Магистратура,Город,4,Работает
38,Мужской,50.2,Среднее специальное,Село,1,Работает
48,Мужской,32.1,Высшее,Село,2,Работает
35,Женский,42.9,Среднее специальное,Город,3,Пенсионер
57,Женский,47.2,Магистратура,Город,0,Работает
53,Женский,61.3,Магистратура,Город,2,Пенсионер
41,Мужской,70.6,Высшее,Село,1,Работает
33,Мужской,18.4,Высшее,Город,1,Работает
54,Женский,58.7,Высшее,Село,1,Работает
44,Женский,49.6,Высшее,Город,1,Работает
53,Женский,66.6,Среднее,Село,2,Работает
33,Женский,49.7,Среднее специальное,Город,2,Работает
40,Женский,38.7,Высшее,Город,1,Пенсионер
45,Женский,47.7,Высшее,Село,2,Работает
45,Мужской,40.6,Среднее специальное,Село,3,Работает
41,Мужской,66.6,Магистратура,Село,2,Пенсионер
49,Мужской,54.8,Среднее,Город,2,Безработный
37,Женский,77.0,Высшее,Город,3,Работает
44,Женский,51.1,Высшее,Город,1,Работает
45,Женский,41.9,Высшее,Город,1,Пенсионер
48,Женский,31.3,Высшее,Город,2,Работает
49,Женский,27.5,Среднее специальное,Город,0,Работает
37,Женский,24.7,Среднее,Город,2,Работает
34,Мужской,51.0,Высшее,Село,0,Пенсионер
53,Мужской,64.1,Высшее,Город,1,Работает
47,Женский,29.8,Среднее,Город,0,Студент
39,Мужской,62.9,Высшее,Город,1,Работает
55,Женский,50.3,Среднее специальное,Город,1,Пенсионер
45,Мужской,54.7,Высшее,Город,2,Работает
53,Женский,80.7,Высшее,Село,1,Работает
45,Женский,66.0,Среднее,Село,2,Пенсионер
59,Мужской,55.5,Среднее,Село,1,Работает
57,Мужской,45.1,Высшее,Село,2,Работает
43,Женский,19.2,Высшее,Город,1,Работает
51,Женский,44.7,Высшее,Город,1,Работает
49,Мужской,51.3,Высшее,Город,1,Работает
54,Мужской,42.2,Высшее,Город,2,Безработный
38,Женский,47.0,Магистратура,Город,2,Работает
49,Мужской,55.7,Высшее,Город,0,Работает
52,Женский,52.6,Среднее специальное,Город,1,Работает
32,Женский,36.2,Среднее специальное,Город,0,Работает
36,Женский,50.5,Среднее,Город,4,Безработный
30,Женский,51.6,Высшее,Город,1,Работает
43,Мужской,35.1,Среднее специальное,Город,2,Работает
50,Мужской,76.2,Магистратура,Город,1,Студент
55,Мужской,56.0,Высшее,Город,0,Работает
45,Мужской,52.8,Высшее,Село,0,Пенсионер
56,Мужской,68.6,Среднее специальное,Город,4,Пенсионер
35,Мужской,51.0,Среднее,Город,0,Пенсионер
33,Мужской,60.8,Среднее,Село,1,Работает
44,Женский,56.3,Среднее специальное,Город,2,Пенсионер
47,Мужской,44.3,Среднее,Город,0,Пенсионер
44,Мужской,57.4,Высшее,Город,0,Работает
30,Женский,27.8,Магистратура,Город,3,Работает
44,Мужской,53.6,Магистратура,Село,1,Работает
35,Мужской,47.0,Высшее,Село,0,Работает
49,Женский,51.4,Среднее специальное,Город,2,Работает
47,Мужской,51.6,Магистратура,Город,2,Работает
38,Мужской,20.8,Магистратура,Город,3,Работает
41,Мужской,42.3,Среднее,Город,0,Работает
37,Женский,49.9,Высшее,Город,0,Работает
44,Мужской,54.4,Среднее специальное,Город,0,Работает
51,Мужской,40.1,Высшее,Город,2,Студент
38,Женский,68.0,Магистратура,Город,1,Работает
48,Мужской,41.0,Среднее,Город,1,Работает
41,Женский,65.0,Магистратура,Город,1,Работает
39,Женский,55.9,Высшее,Город,1,Работает
44,Мужской,42.3,Магистратура,Село,1,Безработный
37,Женский,75.1,Среднее специальное,Город,0,Студент
41,Женский,32.6,Высшее,Город,0,Работает
36,Мужской,61.8,Среднее,Село,1,Студент
58,Женский,74.0,Среднее специальное,Город,3,Работает
45,Женский,42.4,Среднее,Город,0,Работает
40,Мужской,70.9,Магистратура,Город,0,Работает
46,Мужской,49.2,Высшее,Город,1,Пенсионер
44,Мужской,56.3,Магистратура,Город,0,Работает
43,Женский,55.4,Магистратура,Город,0,Безработный
49,Мужской,52.5,Среднее,Город,1,Пенсионер
50,Женский,67.2,Среднее специальное,Село,2,Работает
41,Женский,62.4,Среднее,Город,0,Работает
40,Женский,23.8,Среднее специальное,Город,0,Пенсионер
43,Женский,71.1,Среднее специальное,Село,5,Работает
28,Женский,19.1,Среднее специальное,Город,1,Работает
34,Женский,62.5,Среднее специальное,Село,0,Работает
54,Женский,73.9,Среднее,Город,0,Работает
56,Мужской,41.6,Среднее,Село,3,Работает
43,Мужской,45.3,Среднее,Город,0,Работает
49,Женский,37.9,Магистратура,Село,2,Работает
47,Женский,50.3,Высшее,Село,1,Работает
66,Мужской,58.4,Магистратура,Город,1,Пенсионер
52,Женский,67.7,Среднее специальное,Город,1,Студент
44,Мужской,71.7,Среднее специальное,Город,2,Работает
38,Мужской,69.9,Высшее,Город,1,Работает
33,Мужской,38.1,Среднее специальное,Город,0,Студент
46,Женский,49.9,Среднее специальное,Город,2,Работает
39,Женский,24.2,Среднее специальное,Город,1,Работает
35,Мужской,35.4,Среднее,Город,1,Студент
40,Мужской,64.5,Среднее специальное,Город,3,Пенсионер
37,Мужской,72.7,Среднее специальное,Город,2,Безработный
56,Мужской,39.5,Высшее,Город,2,Безработный
51,Мужской,46.6,Среднее,Город,4,Работает
44,Женский,51.6,Среднее специальное,Город,3,Работает
55,Мужской,61.7,Высшее,Город,0,Безработный
45,Женский,40.4,Среднее,Город,2,Работает
38,Мужской,55.4,Среднее специальное,Город,1,Работает
55,Женский,50.4,Магистратура,Город,1,Пенсионер
48,Женский,53.8,Среднее,Село,1,Пенсионер
37,Женский,56.7,Среднее,Город,3,Работает
43,Женский,51.6,Среднее специальное,Город,0,Пенсионер
38,Женский,42.5,Среднее специальное,Город,1,Пенсионер
35,Женский,45.9,Высшее,Село,4,Безработный
51,Мужской,54.2,Высшее,Село,1,Работает
58,Женский,53.4,Среднее,Город,2,Работает
35,Мужской,43.6,Высшее,Город,2,Работает
48,Женский,78.0,Высшее,Село,1,Работает
40,Женский,58.4,Среднее,Город,1,Работает
41,Мужской,46.1,Высшее,Город,4,Работает
40,Женский,60.5,Среднее специальное,Город,2,Работает
38,Мужской,44.0,Среднее специальное,Город,2,Студент
45,Мужской,70.1,Среднее,Село,2,Работает
39,Мужской,55.0,Среднее специальное,Село,3,Безработный
46,Мужской,51.4,Среднее специальное,Село,2,Безработный
44,Женский,58.7,Высшее,Город,1,Работает
43,Женский,27.9,Среднее,Село,2,Студент
38,Мужской,32.1,Среднее специальное,Город,1,Работает
40,Женский,32.1,Среднее специальное,Город,2,Работает
50,Женский,57.1,Высшее,Село,2,Пенсионер
48,Мужской,80.0,Высшее,Город,2,Работает
38,Женский,82.5,Высшее,Город,2,Безработный
45,Мужской,62.1,Высшее,Город,2,Работает
50,Мужской,62.5,Магистратура,Село,1,Пенсионер
33,Женский,19.5,Среднее специальное,Город,0,Работает
48,Женский,45.9,Высшее,Город,2,Работает
40,Женский,38.2,Высшее,Город,0,Работает
48,Мужской,44.7,Магистратура,Село,0,Безработный
39,Мужской,47.0,Магистратура,Село,2,Пенсионер
32,Женский,38.9,Среднее специальное,Город,1,Работает
33,Женский,16.8,Среднее,Город,0,Работает
45,Женский,63.7,Среднее специальное,Город,0,Работает
46,Женский,36.9,Высшее,Село,1,Пенсионер
38,Мужской,52.6,Среднее специальное,Город,1,Работает
49,Женский,85.6,Среднее специальное,Село,3,Пенсионер
33,Мужской,32.7,Высшее,Город,2,Пенсионер
44,Мужской,15.0,Среднее специальное,Село,1,Работает
36,Женский,43.7,Магистратура,Село,1,Работает
